danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_id,track_name,track_source_playlist,track_artists_id,track_artists_name,track_artists_followers,track_artists_popularity,release_date,release_date_precision,popularity,generated_timestamp
0.516,0.607,4,-9.071,0,0.218,0.426,0.0,0.32,0.359,105.181,201169,4,1qCvntm2ShBlCIkxpp5ypd,Low Low,6Jq0QdwB0vk7VPcIqpo4pr,7c8WSGTjxRP9sOob1KukJA,Kalonji,33554,29,2020-10-23,day,13,2024-01-08
0.717,0.391,3,-7.456,0,0.666,0.262,0.0,0.0688,0.429,119.832,195500,5,6K37qXNvH5zBQBbzjDb2t3,Protect My Family,6Jq0QdwB0vk7VPcIqpo4pr,0UvfwKuB7bkbJJSkp2Be6e,Brad,849,15,2020-01-01,day,25,2024-01-08
0.556,0.529,6,-9.194,0,0.506,0.531,0.0,0.111,0.323,80.047,155410,3,7IhAojggh9HGoSq68YIrxA,Send Dem Home,6Jq0QdwB0vk7VPcIqpo4pr,49ItLMSGeJCLoAsJmOGlz9,Yung Choppa,6261,19,2021-01-08,day,40,2024-01-08
0.679,0.548,4,-10.472,0,0.215,0.216,0.0,0.0654,0.294,103.834,189257,4,2Whu3rr9fahMZ5ib9B9G5g,The Message,6Jq0QdwB0vk7VPcIqpo4pr,7c8WSGTjxRP9sOob1KukJA,Kalonji,33554,29,2021-01-15,day,11,2024-01-08
0.854,0.61,1,-9.922,1,0.251,0.203,0.0,0.098,0.487,98.017,186925,4,0D9OXb3JhJFJ8O8d5Ld0HT,Murder Pandemic - Caribbean Radio Edit,6Jq0QdwB0vk7VPcIqpo4pr,2kNL5eBpFCpOQu81GJ4lZb,Jovi Ton,3954,4,2020-05-22,day,5,2024-01-08
0.673,0.485,4,-10.753,0,0.5,0.232,0.0,0.0837,0.359,118.152,224052,4,4LSde8UiFKjPLeboBqSkCp,Tension,6Jq0QdwB0vk7VPcIqpo4pr,0WhrKY560yMc8mma8YXNKp,Faces,44,0,2024-01-03,day,0,2024-01-08
0.618,0.695,10,-7.325,0,0.229,0.0763,0.0,0.189,0.661,127.667,166019,5,6xRCEBOJtUdN3aMKGvqX5f,Not,6Jq0QdwB0vk7VPcIqpo4pr,"5FkUhnHQ0KC63549LHHtst,3SCF5O7tDI61AtzlE5z8Vv","Skillibeng,Quenga","325197,737","59,15",2020,year,44,2024-01-08
0.823,0.535,1,-9.424,0,0.261,0.13,0.0,0.113,0.482,113.46,152947,4,34iHE2gOGgbxr3Xj4n93Ad,Kettle And Pot,6Jq0QdwB0vk7VPcIqpo4pr,0WhrKY560yMc8mma8YXNKp,Faces,44,0,2020-12-29,day,0,2024-01-08
0.466,0.575,9,-7.648,1,0.088,0.0879,0.0,0.0846,0.307,66.703,164875,5,7wcyXBpJEQMGNVBOUkEz9Q,Protection,6Jq0QdwB0vk7VPcIqpo4pr,0vJGJHGCbOXAUAd7L1mKF0,Logiq,1340,10,2020-12-08,day,24,2024-01-08
0.879,0.525,0,-5.174,1,0.194,0.27,4.74e-06,0.0997,0.583,94.984,162978,4,2N7tIqMZUpnryXz58kfu3O,My Life,6Jq0QdwB0vk7VPcIqpo4pr,5PEQBJgODj2Ih0zH2JbMZt,Jp.,126,0,2019-09-03,day,0,2024-01-08
0.682,0.537,10,-8.491,1,0.923,0.229,0.0,0.132,0.592,118.621,203429,5,3XHGvTfhjKyOUR9yKla4so,Run Up,6Jq0QdwB0vk7VPcIqpo4pr,7c8WSGTjxRP9sOob1KukJA,Kalonji,33554,29,2021-01-25,day,35,2024-01-08
0.602,0.615,2,-7.235,1,0.315,0.0235,2.21e-05,0.125,0.25,69.838,160862,3,6RkSKLzdaboOQA9zVHYkWq,Grimey,6Jq0QdwB0vk7VPcIqpo4pr,2Jd4rUFlIWzOrgbaSj1BiD,Keefff,62,2,2021-01-16,day,0,2024-01-08
0.935,0.487,8,-10.383,0,0.55,0.367,0.0,0.309,0.374,99.984,139200,4,7nS5kOGvZdEC4MDkdc4HSH,TriniBad Anthem,6Jq0QdwB0vk7VPcIqpo4pr,28aeXnDdKLtyUB2rrzZBei,Kj Productions,173,1,2020-11-30,day,9,2024-01-08
0.86,0.492,6,-9.601,0,0.0607,0.692,0.000646,0.0822,0.461,121.982,253770,4,0aKJOi7YBXNIfXSMoocxiZ,Military Standard,6Jq0QdwB0vk7VPcIqpo4pr,6ryeoWsd9PnGRcseBwrj4t,King B,57,0,2021-01-08,day,0,2024-01-08
0.764,0.57,5,-8.256,0,0.344,0.159,0.0,0.0952,0.593,133.368,194448,5,4LIxj6iQZjWF6vIY0rQB4M,Bad Like We,6Jq0QdwB0vk7VPcIqpo4pr,4HbXLwAjSoIci1IiqobPOm,One 6ix,2,0,2021-01-22,day,0,2024-01-08
