danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_id,track_name,track_artists_id,track_artists_name,track_artists_followers,track_artists_popularity,release_date,release_date_precision,popularity,generated_timestamp
0.721,0.692,7,-5.914,0,0.233,0.565,6.82e-06,0.12,0.828,97.506,180000,4,6FOeRc9pBD9Y3DGJihVOmf,Monsterz Out,6fanvfSBKMMExePwhUq8Mi,K Lion,39431,29,2020-05-01,day,29,2023-12-19
0.759,0.609,9,-8.625,1,0.316,0.539,0.0,0.0743,0.64,103.867,216947,4,4D0BXEORpR7AcoeftXO2z1,Extraordinary,6fanvfSBKMMExePwhUq8Mi,K Lion,39431,29,2020-03-14,day,30,2023-12-19
0.929,0.547,6,-6.595,0,0.131,0.232,9.71e-05,0.0846,0.354,104.029,240000,4,5m6x2kHWoFSvYkSiX0CZNi,OMG,3r8Hq14XJAyy6K8mlBs2s5,Rebel Sixx,50069,32,2020-02-15,day,28,2023-12-19
0.878,0.617,8,-5.441,1,0.117,0.167,0.000217,0.206,0.305,100.061,194444,4,1ovhpahCxobkKqn5RPk3TM,Parliament,3r8Hq14XJAyy6K8mlBs2s5,Rebel Sixx,50069,32,2020-03-06,day,31,2023-12-19
0.715,0.77,0,-5.755,0,0.368,0.31,0.0,0.258,0.145,89.885,252891,4,7GB8WAeAZi426mRkJrtkOQ,Avaricious Fren,"3zorWCDx017sz4UYP2fC9w,3r8Hq14XJAyy6K8mlBs2s5","Chronic Law,Rebel Sixx","153457,50069","49,32",2020-06-17,day,9,2023-12-19
0.531,0.691,6,-7.46,0,0.0767,0.188,0.0,0.0978,0.389,102.509,243000,5,3AGXiyg3dXfFCB2taHrZwM,Murda,6CxUKwVnCBKKP60XMvnMOL,Jahllano,19787,24,2020-04-17,day,14,2023-12-19
0.86,0.394,8,-15.573,0,0.151,0.626,0.0,0.121,0.289,100.031,158459,4,4oaNAnqd6C3TUu6ZAtuVFk,Dead,"1q8eLau7GFYIqG56nO7Cwt,3oPS5gQSuTmiuCDWQo2Mdw","CJ Dan,Sin Sin","6759,535","8,5",2020-05-08,day,10,2023-12-19
0.569,0.663,0,-5.858,0,0.161,0.822,0.0,0.169,0.771,130.552,188576,5,1QbQFDVEm6ImPZ8giR4Z4E,Dreams,1q8eLau7GFYIqG56nO7Cwt,CJ Dan,6759,8,2020-01-17,day,7,2023-12-19
0.693,0.474,6,-6.837,1,0.459,0.167,0.0,0.27,0.509,200.021,153712,4,2Z7ZC8V7qCuoH8p6GXiRsk,Clean and Dutty,"1q8eLau7GFYIqG56nO7Cwt,7zow5Va8ESrfnxvUF62HRH","CJ Dan,Icee Dan","6759,7933","8,21",2020-04-14,day,0,2023-12-19
0.757,0.676,8,-3.803,1,0.0792,0.0726,7.5e-05,0.0789,0.158,101.999,155109,4,2UmAhS7gLpVfyJa7yrtSmE,No Talk,3UwGbC4Sl9MmonrpWo6grS,Boy Boy,28641,39,2020-03-31,day,31,2023-12-19
